date,product_id,orders,units,gmv,refund_amount
2026-07-08,P001,42,48,9552,0
2026-07-08,P002,25,26,8554,0
2026-07-08,P003,31,35,5215,149
2026-07-08,P007,18,19,4921,0
2026-07-14,P001,40,45,8955,199
2026-07-14,P002,27,28,9212,0
2026-07-14,P003,34,39,5811,0
2026-07-14,P007,20,21,5439,0
2026-07-15,P001,24,27,5373,398
2026-07-15,P002,18,18,5922,0
2026-07-15,P003,27,27,4023,149
2026-07-15,P004,14,14,1806,0
2026-07-15,P005,9,12,1068,0
2026-07-15,P006,15,15,1185,0
2026-07-15,P007,8,8,2072,259
2026-07-15,P008,6,6,2394,798
