date,product_id,impressions,visitors,add_to_cart
2026-07-08,P001,16800,2100,188
2026-07-08,P002,9800,1120,104
2026-07-08,P003,12400,1450,116
2026-07-08,P007,7600,820,66
2026-07-14,P001,17100,2140,184
2026-07-14,P002,10100,1165,112
2026-07-14,P003,12800,1490,128
2026-07-14,P007,7900,850,71
2026-07-15,P001,16950,2125,128
2026-07-15,P002,10250,1170,113
2026-07-15,P003,13100,1530,141
2026-07-15,P004,7200,760,62
2026-07-15,P005,5600,590,42
2026-07-15,P006,8400,1180,74
2026-07-15,P007,8050,845,48
2026-07-15,P008,9200,980,53
